Dispatcher,Trip Type,Call Date,Call Time,Year,Month,Day,Hour,Minute,Second,Call Time,Drop off Location,No. of Passengers,Driver,Driver assign time,Pickup time,Dropped off time,Student wait time,Cancelled(Y/N),Multiple Calls(Y/N),No Show(Y/N),Scheduled trip(Y/N),Comments
JCUI,Automated Phone,8/1/13,20:01:23,2013,8,1,20,1,23,8:01:23 PM,Ridge And Laloma,1,208,20:07,20:25,20:31,0:24,,,,,
JCUI,Web/Mobile App,8/1/13,21:24:55,2013,8,1,21,24,55,9:24:55 PM,Telegraph And Parker,1,208,21:29,21:43,21:53,0:19,,,,,
JCUI,Automated Phone,8/1/13,21:44:02,2013,8,1,21,44,2,9:44:02 PM,Rochdale Village Dwight Side,1,201,21:53,22:02,22:16,0:18,,,,,
JCUI,Manual,8/1/13,21:57:53,2013,8,1,21,57,53,9:57:53 PM,Dwight And Benvenue,1,201,21:58,22:06,22:16,0:08,,,,,
JCUI,Manual,8/1/13,22:08:52,2013,8,1,22,8,52,10:08:52 PM,Dwight And Telegraph,1,208,22:09,22:20,22:34,0:11,,,,,
JCUI,Manual,8/1/13,22:10:41,2013,8,1,22,10,41,10:10:41 PM,Dwight And Milvia,1,201,22:14,22:20,22:25,0:09,,,,,
JCUI,Manual,8/1/13,22:14:47,2013,8,1,22,14,47,10:14:47 PM,Unit 2 College Side,1,201,22:27,22:29,22:31,0:15,,,,,
JCUI,Manual,8/1/13,22:18:03,2013,8,1,22,18,3,10:18:03 PM,Hearst And Spruce,1,201,22:30,22:38,22:45,0:20,,,,,
JCUI,Automated Phone,8/1/13,22:26:37,2013,8,1,22,26,37,10:26:37 PM,Oxford And Center,4,201,22:29,22:54,23:00,0:27,,,,,
JCUI,Web/Mobile App,8/1/13,22:36:16,2013,8,1,22,36,16,10:36:16 PM,2705 Ridge,1,201,22:59,23:19,23:23,0:43,,,,,
JCUI,Manual,8/1/13,22:39:29,2013,8,1,22,39,29,10:39:29 PM,Stebbins,1,201,23:00,23:04,23:09,0:25,,,,,
JCUI,Manual,8/1/13,23:03:45,2013,8,1,23,3,45,11:03:45 PM,2443 Hilguard Ave,1,201,23:32,23:44,23:54,0:40,,,,,
JCUI,Manual,8/1/13,23:05:54,2013,8,1,23,5,54,11:05:54 PM,Highland And Hearst,1,201,23:32,23:38,23:54,0:32,,,,,
JCUI,Manual,8/1/13,23:10:41,2013,8,1,23,10,41,11:10:41 PM,Ashby And Telegraph,5,201,23:14,23:25,23:32,0:14,,,,,
JCUI,Manual,8/1/13,23:11:27,2013,8,1,23,11,27,11:11:27 PM,College And Haste,2,201,23:32,23:44,23:54,0:33,,,,,
JCUI,Manual,8/1/13,23:19:47,2013,8,1,23,19,47,11:19:47 PM,1941 Cedar,1,201,23:55,0:03,0:13,0:43,,,,,
JCUI,Automated Phone,8/1/13,23:34:45,2013,8,1,23,34,45,11:34:45 PM,Francisco And Shattuck,1,208,23:42,23:50,0:01,0:15,,,,,
JCUI,Manual,8/1/13,23:48:27,2013,8,1,23,48,27,11:48:27 PM,Cloyne Court,2,201,23:55,0:10,0:20,0:22,,,,,
JCUI,Manual,8/1/13,23:57:16,2013,8,1,23,57,16,11:57:16 PM,Channing And Shattuck,1,,0:25,0:28,0:48,0:31,,,,,
